id,pred
5733,6.417535305023193
5734,5.757731914520264
5735,5.417150974273682
5736,5.824977397918701
5739,5.001143455505371
5740,5.218021869659424
5741,5.501763343811035
5742,5.566897869110107
5743,5.793647289276123
5744,7.230690956115723
5745,4.877124309539795
5746,5.444604396820068
5747,6.264083385467529
5748,5.493349552154541
5749,6.287494659423828
5750,4.962160587310791
5751,5.203756332397461
5752,6.583546161651611
5753,4.9456562995910645
5754,6.135766506195068
5755,4.919410705566406
5756,5.344549179077148
5757,6.593489646911621
5758,6.040670394897461
5759,5.603545665740967
5760,5.367840766906738
5761,5.0674285888671875
5762,5.838413715362549
5763,5.27699613571167
5764,5.212651252746582
5765,5.1844587326049805
5766,5.826090335845947
5767,5.336843490600586
5768,8.298734664916992
5769,5.581850528717041
5770,5.004994869232178
5771,5.291192531585693
5772,5.545685768127441
5773,5.388679504394531
5774,5.4924798011779785
5775,5.717313289642334
5776,5.923041820526123
5777,5.06648588180542
5778,5.502396106719971
5779,5.941446781158447
5780,6.490772724151611
5781,5.6332478523254395
5782,5.071409702301025
5783,4.855882167816162
5784,5.367404460906982
5785,4.943440914154053
5786,4.91115140914917
5787,4.870643138885498
5788,4.77259635925293
5789,4.910343647003174
5790,4.83149528503418
5791,5.185429573059082
5792,4.987284183502197
5793,4.848307132720947
5794,5.028614044189453
5795,5.094592094421387
5796,5.123010158538818
5797,7.009822845458984
5798,5.20582389831543
5799,4.977823734283447
5800,5.049313545227051
5801,5.072638034820557
5802,4.872112274169922
5803,6.41627836227417
5804,6.068397045135498
5805,6.264749050140381
5806,5.822152614593506
5807,6.105746746063232
5808,4.980936527252197
5809,6.0009284019470215
5810,5.158596515655518
5811,5.807392597198486
5812,5.6118245124816895
5813,6.789521217346191
5814,6.171555995941162
5815,6.428027629852295
5816,5.209259510040283
5817,5.131035804748535
5818,6.133617401123047
5819,5.737491130828857
5820,5.670563697814941
5821,5.881532669067383
5822,5.344758987426758
5823,5.39851713180542
5824,5.514594554901123
5825,6.807525634765625
5826,6.645193576812744
5827,6.259941577911377
5828,5.2297163009643555
5829,5.786059856414795
5830,5.9025983810424805
5831,5.502193450927734
5832,5.56044340133667
5833,6.036992073059082
5834,5.41448974609375
5835,6.0510358810424805
5836,5.310885429382324
5837,6.748919486999512
5838,6.482053279876709
5839,5.876716136932373
5840,5.446255683898926
5841,5.199749946594238
5842,5.084805965423584
5843,5.405285835266113
5844,6.073841571807861
5845,6.07270622253418
5846,6.110241889953613
5847,5.786477088928223
5848,6.0004563331604
5849,5.929568290710449
5850,5.020418643951416
