tsne_1,tsne_2,tsne_3,id
1.1668156,-79.59546,-4.0591373,1
130.70665,20.191158,2.222132,2
103.61254,0.5250296,-31.987722,3
14.538269,13.981567,-48.114384,4
36.69289,10.261737,-21.283226,6
107.17358,0.75782436,-2.6685677,7
5.8351164,29.95346,3.3286972,8
17.222637,34.440956,19.071762,9
-93.67471,-9.607469,-11.202485,10
10.961251,-78.80215,33.96281,11
128.57639,21.228361,-27.103514,12
-87.90357,-28.144302,-2.231935,13
-22.412167,94.54576,-26.64302,14
17.535625,89.99767,-14.641469,15
-49.568375,167.22792,-6.824423,16
88.58484,50.669018,-11.012292,17
120.80371,19.898773,-25.53278,18
202.43765,20.963837,-37.329075,19
102.47668,-47.375225,-13.543729,20
160.85455,16.910067,-13.878447,21
42.429295,-86.185165,-20.62664,22
-139.72276,309.0257,2.4438543,23
-86.01763,-57.809875,-6.9545903,24
-109.13629,-58.129993,-12.661567,25
-109.07006,42.390194,1.7692447,26
92.545135,15.075248,-5.041906,27
6.561573,-25.877907,38.470547,28
-7.5083666,-62.07058,-2.5292182,29
45.05444,11.243486,-6.2294497,30
-107.474495,56.078156,18.04378,31
-75.46074,-69.718544,21.909058,32
-11.568436,12.897179,89.30265,33
52.429,9.832912,-28.505085,34
49.42604,-44.557632,-5.082297,35
6.6445374,26.500273,-44.105423,36
-107.09754,72.25007,5.700177,37
-61.706646,16.635681,-33.4642,38
-128.17543,-52.285095,-14.99227,39
-116.613884,134.53941,3.202648,40
-14.742933,-2.7573533,25.004848,41
-81.49956,57.789963,-22.764988,42
-111.50475,71.82402,-0.5831026,43
-71.29594,33.78795,-15.656094,44
-88.03743,-69.424774,-23.18518,45
-90.0786,106.12774,7.0910473,46
-103.61115,89.02302,-6.305342,47
-115.456116,73.10132,10.155501,48
-63.680527,43.586445,35.31657,49
-94.296745,50.18538,-19.661585,50
-95.98641,-63.067074,-23.381466,51
18.048674,28.786251,-33.64656,52
-69.92233,-36.078064,48.309036,53
-121.63234,33.236366,11.211686,54
21.920538,74.53893,-31.067997,55
-73.77896,-58.462193,-29.158035,56
40.004513,-4.24874,-31.709023,57
-114.569275,-28.264084,-1.5188817,58
-47.129612,-107.19963,-18.553087,59
-178.02951,140.18121,-0.60508806,60
-96.358185,27.426064,-17.819225,62
60.23694,-14.485022,16.656746,63
-121.88674,-20.580801,-13.244578,64
106.714775,30.512974,77.21911,65
-24.26086,-29.490759,26.355705,66
-89.55879,-15.461573,8.099206,71
-75.689766,44.259953,32.18388,73
94.78582,-2.0082037,-8.971171,74
-112.730064,37.82005,6.409486,75
-174.90913,-14.627777,6.4224043,76
79.33615,1.4665486,-4.81122,77
48.059414,79.84047,-18.417091,78
-87.65598,-51.352337,28.158169,79
-78.61445,-5.734531,-34.284706,80
-90.07793,-82.11159,-15.609694,81
-68.428604,28.700073,-20.636517,82
-94.594444,68.31531,-9.920591,83
73.15248,-48.350826,-15.3842535,84
-30.568125,-96.91236,-7.1027465,85
321.72336,-32.66846,-74.38559,86
-42.263588,-95.00868,15.130578,87
-60.89574,-70.82196,-15.357079,88
-67.60984,-23.824411,49.210896,89
81.53564,-53.022923,12.751946,90
-38.874928,-14.665835,34.506447,95
170.84662,45.39398,-28.163994,96
174.25032,-14.349417,-28.306767,97
104.261185,-51.275845,-4.598952,98
22.908194,-21.547554,-31.357607,99
81.95772,40.850716,33.035183,100
21.652359,-57.480244,-9.694335,101
191.3927,35.774998,10.373943,102
45.609104,14.8728,3.1438522,103
-41.609375,-36.192455,33.835316,104
49.78923,-24.83952,47.78986,105
20.78316,92.75646,-5.9956555,106
119.56094,-25.483326,9.791507,107
67.01048,-31.649708,-1.7829106,108
45.012714,-26.873728,2.9257061,109
312.09744,-19.00332,-14.146883,114
-60.43834,87.13688,9.464712,117
47.591904,-93.06006,1.7555329,118
-78.43437,-62.38014,-11.843369,119
63.472927,18.337595,-40.450546,120
-16.08558,40.33483,-0.76028246,138
-85.10774,-22.875374,-20.906546,163
5.158258,33.482082,-34.358154,167
18.50758,87.37627,-19.887606,168
231.90697,62.94227,-17.213919,170
-79.88252,-7.132882,-5.937625,171
-39.11533,-70.34839,-38.01754,172
15.444114,-53.769066,-49.968597,173
-109.29855,-26.883394,9.8881235,174
-127.28345,50.205723,27.26906,175
-128.42949,39.000896,23.199593,176
-11.195767,-8.886811,-21.102737,177
-96.447815,-30.62441,-17.22252,178
