id,df_feature_0_1_2_3,df_feature_12_13_14,df_feature_21_24,df_feature_21_25,df_feature_21_26,df_feature_22_21_26
1,167.88,432.51,478.79900000000004,166.19899999999998,1807.87,0.09187607516027148
2,207.03,579.16,455.875,155.779,1781.82,0.0875509310704785
3,137.91,535.03,437.444,148.988,1618.3999999999999,0.09194265941670787
4,119.88,434.54,402.831,136.851,1458.6,0.09392568216097628
6,150.89000000000001,456.64,412.032,141.05599999999998,1591.52,0.08878305016587917
7,224.95,548.22,504.108,171.85500000000002,2056.23,0.08364823001317946
8,190.98999999999998,443.20000000000005,447.86000000000007,157.78000000000003,1729.7,0.09134531999768745
9,230.87,436.86,482.144,163.02,1669.72,0.09762115803847352
10,138.64,360.01,437.229,143.819,1587.3,0.09072009072009073
11,228.32,405.69,451.773,160.03400000000002,1759.3799999999999,0.0909411269879162
12,177.05,572.29,452.95200000000006,151.14600000000002,1618.38,0.0933031797229328
13,173.87,336.25,406.848,136.92,1647.9299999999998,0.08313459916379944
14,109.57000000000001,422.21000000000004,414.948,141.064,1557.2,0.09054713588492165
15,173.44,452.65,428.197,145.859,1599.2900000000002,0.09129051016388522
16,140.97,368.85,409.024,136.192,1491.8400000000001,0.09116259116259115
17,182.01999999999998,582.6800000000001,442.035,157.905,1767.15,0.08940950117420705
18,188.64000000000001,582.6,391.70699999999994,120.77099999999999,1974.51,0.061281026685101624
19,203.83,677.39,466.18199999999996,154.85999999999999,1778.22,0.08716581750289615
20,200.94,566.18,498.18000000000006,171.0,1955.1000000000001,0.08746355685131195
21,242.57,600.32,539.784,181.15200000000002,2050.2,0.08828406984684421
22,139.84,501.14,509.25,175.35,1806.0,0.09700996677740863
23,154.25,305.26,264.138,81.095,1016.1700000000001,0.07971107196630485
24,143.51,325.72,411.84,139.932,1591.1999999999998,0.08798391151332328
25,102.67999999999999,317.62,439.83000000000004,146.77200000000002,1623.24,0.09055962149774525
26,154.14,335.82000000000005,417.97,139.16,1631.7,0.0851872280443709
27,222.03,532.59,458.06199999999995,153.032,1726.78,0.08860422288884513
28,259.87,428.76,506.106,171.864,1897.2,0.09065991988193127
29,155.85,409.36,468.216,156.24,1678.32,0.09295009295009295
30,205.57999999999998,483.16,493.02000000000004,165.24,1809.0000000000002,0.09121061359867329
31,173.02,317.62,448.863,149.778,1573.14,0.09535069987413707
32,209.29000000000002,381.13,482.1599999999999,165.76,1926.3999999999999,0.08617109634551495
33,277.72,427.60999999999996,431.94,151.79999999999998,1619.1999999999998,0.09387351778656128
34,164.73999999999998,467.45000000000005,472.83400000000006,161.21800000000002,1839.4,0.08752854191584211
35,170.18,482.47,462.78799999999995,157.988,1732.28,0.09120927332763756
36,99.94,452.05,429.912,145.15200000000002,1698.48,0.08537044887193256
37,145.08,310.72,395.469,134.994,1544.73,0.0873291772672247
38,110.06,387.19000000000005,375.066,129.042,1382.8799999999999,0.09328358208955224
39,103.66,306.90999999999997,404.998,135.29999999999998,1510.85,0.08975080252837807
40,184.61,293.65,408.09,133.8,1462.8799999999999,0.09160013124794926
41,187.27,426.55,457.75800000000004,164.00400000000002,1858.0200000000002,0.08826600359522502
42,140.01999999999998,340.90999999999997,341.055,108.108,1359.93,0.07941585228651474
43,132.67,309.59999999999997,393.822,129.897,1514.7,0.08582557602165446
44,110.85,373.53999999999996,425.204,142.85699999999997,1616.1599999999999,0.08848133848133849
45,113.37,328.88,433.795,140.39,1636.2,0.08574746363525242
46,204.14999999999998,331.65,391.96400000000006,126.87600000000002,1412.64,0.08990259372522369
47,164.52,322.43,361.05,116.20000000000002,1332.15,0.08707728108696468
48,154.06,325.12,413.93100000000004,140.07,1632.54,0.08575593859874797
49,257.33000000000004,366.53000000000003,427.875,145.23299999999998,1657.7099999999998,0.08747006412460565
50,152.12,316.03,345.03,108.06599999999999,1358.4199999999998,0.0795041297978534
51,95.14,329.69,391.192,127.96000000000001,1494.39,0.08565367808938763
52,143.03,466.76,419.971,145.215,1590.45,0.09116916595931969
53,240.28,319.15,433.1600000000001,147.0,1661.1000000000001,0.08849557522123894
54,138.23,301.34000000000003,397.34999999999997,136.79999999999998,1548.0,0.08824289405684754
55,157.51999999999998,476.15,345.825,107.00999999999999,1344.1499999999999,0.07960421083956404
56,117.13999999999999,353.09,389.725,130.05,1419.5,0.09158154279675942
57,151.95,459.77000000000004,435.11600000000004,148.104,1645.6,0.0899368011667477
58,128.14000000000001,306.88,430.15500000000003,143.055,1648.3500000000001,0.08675342008675341
59,129.46,379.51,408.968,132.108,1408.2800000000002,0.09373136024086118
60,112.78999999999999,239.60000000000002,347.06,116.18,1235.8,0.09386632141123159
62,102.63,334.31,355.97100000000006,108.808,1435.14,0.07595077832127875
63,263.51,480.29,419.832,149.184,1789.2,0.083277442432372
64,115.29999999999998,308.91,306.062,99.89800000000001,1301.46,0.07683678330490372
65,320.93,528.53,447.849,143.12699999999998,1636.47,0.08738320898030517
66,196.41000000000003,417.19,449.964,154.512,1790.4599999999998,0.08617897076728886
71,176.49,366.64,413.17199999999997,141.174,1411.7399999999998,0.09987674784308727
73,213.55,331.0,422.844,134.76899999999998,1598.1899999999998,0.08447055731796596
74,206.38,523.54,479.80800000000005,162.11200000000002,1838.72,0.08810476853463278
75,152.70000000000002,332.05,412.83000000000004,133.155,1593.9,0.08344312692138779
76,95.01,215.12,396.825,126.02199999999999,1524.77,0.08263541386569778
